IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,089-101-097139.ntlworld.ie,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,i15-les04-th2-31-35-28-29.sfr.lns.abo.bbox.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,70.46.220.114.nw.nuvox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,148-64-96-100.PUBLIC.monkeybrains.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,cpe-172-115-177-204.socal.res.rr.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,58-186-75-xxx-dynamic.hcm.fpt.vn,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,rrcs-198-2-51-242.west.biz.rr.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,084035026014.static.ipv4.infopact.nl,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,S0106ac4ca5feeb27.ss.shawcable.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,cpc77341-stav19-2-0-cust379.17-3.cable.virginm.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,219.227.68.91.rev.sfr.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,75-98-154-19.cpe.safelink.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,91-169-12-198.subs.proxad.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,c-174-58-146-57.hsd1.ks.comcast.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,host-92-27-86-48.static.as13285.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,213-91-235-146.ip.btc-net.bg,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,176-142-207-63.abo.bbox.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,81-229-117-95-no24.tbcn.telia.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,msi35-1_migr-88-126-94-4.fbx.proxad.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,27.pool89-129-109.dynamic.orange.es,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,64-121-161-102.s8804.c3-0.eas-cbr1.atw-eas.pa.cable.rcncustomer.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,mail.buttontrans.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,89-79-229-50.dynamic.chello.pl,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,047-229-096-060.res.spectrum.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,229.pool92-186-69.dynamic.orange.es,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,gas45-h05-176-133-4-230.dsl.sta.abo.bbox.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,162-248-14-107.graysoncollin.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,94-30-98-134.xdsl.murphx.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,mail.buttontrans.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,mail.buttontrans.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,67.pool149-74-159.dynamic.orange.es,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,static-201-244-108-183.static.etb.net.co,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,183.87.163.165.Leased-Line.jprdigital.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,S0106606c63bda6d3.vn.shawcable.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bzq-84-108-200-161.cablep.bezeqint.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,cpe-104-35-24-154.socal.res.rr.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ool-2f15338a.static.optonline.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,modemcable237.71-58-74.mc.videotron.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,S0106206a94a48863.ok.shawcable.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,host-92-20-204-198.as13285.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,cm-84.215.202.8.get.no,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,nsg-corporate-254.210.186.122.airtel.in,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ip72-205-104-134.sb.sd.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,96-87-28-170-static.hfc.comcastbusiness.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,91-160-70-68.subs.proxad.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,host81-150-42-123.in-addr.btopenworld.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,n27-99-32-26.mrk1.qld.optusnet.com.au,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,n27-253-11-10.mrk1.qld.optusnet.com.au,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,host86-130-9-222.range86-130.btcentralplus.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ip184-182-66-109.lv.lv.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,lfbn-nan-1-1724-37.w90-104.abo.wanadoo.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,126.30.147.147.dyn.plus.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,100.140.114.89.rev.vodafone.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,i15-lef01-t2-62-35-230-21.ft.lns.abo.bbox.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,173-24-83-160.client.mchsi.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,wsip-68-14-195-55.no.no.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,113-11-92-30-smile.com.bd,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,a79-168-224-165.cpe.netcabo.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,gen-024-198-114-130.res.spectrum.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,lfbn-cae-1-626-138.w90-29.abo.wanadoo.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,199-27-66-213.hersheytel.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,wsip-24-234-220-88.lv.lv.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,wsip-24-234-220-88.lv.lv.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,234.200.115.89.rev.vodafone.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,mta-98-4-43-111.buffalo.rr.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,3-237-234-23-dedicated.multacom.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,28.76.88.116.starhub.net.sg,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,wsip-24-234-80-122.lv.lv.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,Pikabot,,,,,TRUE
DomainName,bras-base-malton2345w-grc-01-70-49-205-191.dsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,a89-152-20-11.cpe.netcabo.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,93-163-74-91-static.dk.customer.tdc.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,lputeaux-657-1-15-45.w90-63.abo.wanadoo.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,176-151-50-50.abo.bbox.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ool-2f12d529.dyn.optonline.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,static-47-181-12-202.lsan.ca.frontiernet.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ip72-207-255-226.br.br.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bl14-67-210.dsl.telepac.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ip70-174-62-162.hr.hr.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,brnt-01-b2-v4wan-168326-cust609.vm7.cable.virginm.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bba-2-50-28-157.alshamil.net.ae,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,nsg-static-41.189.75.182-airtel.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,static-176-183-15-149.ncc.abo.bbox.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bras-base-knbgon2104w-grc-24-64-229-117-102.dsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,dsl.valley.104398.sxflsdch39r.sdnet.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,a95-94-44-23.cpe.netcabo.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,host86-142-237-226.range86-142.btcentralplus.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,124-149-135-47.dyn.iinet.net.au,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bras-base-kntaon1614w-grc-49-74-14-69-105.dsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bras-base-okvlon0102w-grc-69-70-48-45-207.dsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ppp079167223198.access.hol.gr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bl28-159-245.dsl.telepac.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,203-206-78-3.tpgi.com.au,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
